id,question,answer,intent,terminal,language
13,Is there a lounge for business class passengers?,"Yes, the CIP and business class lounges are available near Gate 5. They offer snacks, Wi-Fi, and comfortable seating.",guidance,departure,english
14,Can I carry liquids in my handbag?,You can carry small liquid containers under 100ml each in a transparent plastic bag. Larger bottles must go in checked luggage.,guidance,departure,english
15,Where can I find the immigration counters?,Immigration counters are right after the security check for international passengers. Keep your passport and ticket ready for inspection.,guidance,departure,english
16,Is there a smoking area inside the terminal?,"Yes, thereâ€™s a designated smoking area near Gate 9. Please follow the signs marked 'Smoking Lounge'.",guidance,departure,english
17,Where can I buy a SIM card or mobile top-up?,"Thereâ€™s a mobile shop next to the main food court in the departure hall where you can buy SIM cards, top-ups, and accessories.",guidance,departure,english
18,How do I get wheelchair assistance?,You can request wheelchair assistance at your airlineâ€™s check-in counter. A staff member will accompany you through security and boarding.,guidance,departure,english
19,Where can I find the lost and found counter?,The lost and found counter is located beside the main information desk in the departure area. You can report or collect lost items there.,guidance,departure,english
20,Can I bring my baby stroller to the gate?,"Yes, you can take your stroller up to the gate. Airline staff will tag it and return it when you land at your destination.",guidance,departure,english
21,Is there a baby changing room available?,"Yes, baby changing rooms are located near the washrooms by Gates 2 and 8. Theyâ€™re equipped with changing tables and sanitizer.",guidance,departure,english
22,Where can I pay for excess baggage?,You can pay excess baggage fees at your airlineâ€™s service counter located beside the check-in area. Keep your receipt for verification.,guidance,departure,english
23,Is there a medical help desk at the airport?,"Yes, thereâ€™s a medical help desk near Gate 4, equipped with first aid and emergency support staff.",guidance,departure,english
24,Where can I find currency exchange services?,Currency exchange counters are available near Gates 5 and 11. You can convert PKR to foreign currency before departure.,guidance,departure,english
25,Can I find duty-free shops before boarding?,"Yes, duty-free shops are available in the international departure lounge. You can buy perfumes, chocolates, and souvenirs before your flight.",guidance,departure,english
26,Where is the security check area?,The security check area is right after the check-in counters. Please keep your boarding pass and ID ready for scanning.,guidance,departure,english
27,How do I get updates about my flight gate change?,Gate change announcements are made on the loudspeakers and displayed on the digital boards. Keep an eye on your flight number.,guidance,departure,english
28,Where can I find airline staff for help?,You can find airline staff near your airlineâ€™s check-in counters and around the boarding gates. Theyâ€™re always available for assistance.,guidance,departure,english
29,Is there a waiting area for families?,"Yes, thereâ€™s a family waiting area near Gate 6 with seating, restrooms, and snack options nearby.",guidance,departure,english
30,How do I reach the upper departure lounge?,You can take the escalator or elevator from the main hall to reach the upper departure lounge. Itâ€™s well-signposted inside the terminal.,guidance,departure,english
31,Can I find a place to print my ticket?,"Yes, thereâ€™s a printing and photocopy service beside the information desk on the departure level.",guidance,departure,english
32,Where can I get information about connecting flights?,You can get details about connecting flights at the transfer information desk near Gate 10 or by asking your airline staff.,guidance,departure,english
33,Where are the airline offices inside the terminal?,Most airline offices are located behind the check-in counters. You can visit them for ticketing or customer service.,guidance,departure,english
34,Can I carry my pet with me on the flight?,Most airlines allow pets in the cabin or cargo area. Check with your airline at least 24 hours before your flight for pet policy details.,guidance,departure,english
35,Where can I find drinking water?,There are water dispensers located beside every washroom and near the boarding gates. You can refill your bottles there.,guidance,departure,english
36,Is there an ATM inside the departure terminal?,"Yes, there are ATMs from several banks located near Gates 2 and 7 in the departure hall.",guidance,departure,english
37,Where can I find announcements for boarding?,All boarding and delay announcements are made through the terminal speakers and displayed on the large flight screens near the gates.,guidance,departure,english
38,How do I get from domestic to international gates?,"After security, follow the blue signs that say â€˜International Departuresâ€™. Domestic gates are to the left and international to the right.",guidance,departure,english
39,Is there any shop to buy travel accessories?,"Yes, youâ€™ll find a travel essentials shop near Gate 3 selling neck pillows, eye masks, and chargers.",guidance,departure,english
40,Can I find a pharmacy inside the terminal?,"Yes, thereâ€™s a pharmacy near Gate 5 where you can buy medicines, pain relievers, or travel-size health products.",guidance,departure,english
41,Is there a place to sit near Gate 11?,"Yes, thereâ€™s a large seating area near Gate 11 with charging points and snack counters close by.",guidance,departure,english
42,Can I get food after security check?,"Yes, several cafes and snack bars are available after security. You can grab a meal while waiting for your flight.",guidance,departure,english
43,Where can I find elevators or lifts?,Elevators are available near every gate section and beside the main escalators for easy access with luggage.,guidance,departure,english
44,Is there a taxi or ride service counter inside?,"Yes, ride service counters like Careem and InDriver are available near the exit of the departure hall for drop-off bookings.",guidance,departure,english
45,Where can I find airport maps?,"Printed maps are available at the information desk, and digital maps are displayed on the large touchscreens near Gate 2.",guidance,departure,english
46,How do I find my way to the boarding gate?,Follow the overhead signs that show gate numbers and directions. The path is clearly marked and easy to navigate.,guidance,departure,english
47,Is there a separate line for families at security?,"Yes, thereâ€™s a family-friendly lane at the security check to make the process easier for parents with kids.",guidance,departure,english
48,Can I get assistance for elderly travelers?,"Absolutely. You can request assistance at your airline counter, and a staff member will guide the passenger through all airport steps.",guidance,departure,english
49,Where can I relax before my flight?,You can relax in the departure lounge seating area or enjoy coffee at any of the nearby cafes until boarding starts.,guidance,departure,english
50,Are there lockers to keep extra luggage?,"Yes, there are luggage lockers available near the main departure entrance. You can store small bags securely for a few hours.",guidance,departure,english
51,What documents are required at the airport for departure?,"For departure, always carry your passport or national ID and boarding pass. If traveling internationally, ensure your visa is valid. Keep photocopies of important documents. Check with your airline for any additional requirements. Have documents ready during security checks. Staff may ask for verification. Being organized ensures smooth boarding and reduces stress.",guidance,departure,english
52,How do I approach the check-in counter at the airport?,"Approach the check-in counter with your booking confirmation and ID. Staff will weigh your baggage and issue your boarding pass. Lines can be long, so allow enough time. Online check-in passengers may only need to drop luggage. Staff instructions must be followed carefully. Early arrival ensures no last-minute issues.",guidance,departure,english
53,What electronics are allowed in cabin baggage?,"Laptops, tablets, mobile phones, and cameras are generally allowed. Keep them in a separate tray for security screening. Follow battery and charger guidelines. Avoid sharp or prohibited items. Staff will inspect if necessary. Always check airline restrictions before packing.",guidance,departure,english
54,How can I select the best seat for my flight?,Choose window or aisle preference in advance. Check for exit rows and extra legroom options. Request special seating for children or those with medical needs. Online check-in often provides better seat options. Confirm seat during boarding. Consider comfort for long flights.,guidance,departure,english
55,How should liquids be handled during security checks?,"Liquids should be in containers of 100 ml or less. Place them in a transparent, resealable bag. Keep the bag accessible for inspection. Follow airline and security rules. Avoid carrying prohibited liquids. Proper packing ensures faster security checks. Staff instructions must be followed.",guidance,departure,english
56,Why should I pay attention to in-flight announcements?,"In-flight announcements provide boarding, safety, and emergency information. Listen carefully to staff instructions. Follow seatbelt signs and safety guidance. Announcements may also include gate or connection info. Keeping informed ensures a safer journey. Always stay attentive.",guidance,departure,english
57,How can I avail priority boarding?,"Priority boarding is usually available for premium passengers, elderly, disabled, or families. Follow signs and staff guidance at the gate. Keep boarding pass ready. Join the designated lane for faster boarding. Benefits include early seating and cabin storage access. Check airline rules for eligibility.",guidance,departure,english
58,What safety measures should be taken during turbulence?,Always keep your seatbelt fastened. Remain calm and seated. Secure food and drinks. Follow all crew instructions. Keep personal belongings safe. Listen to safety announcements. Staying seated minimizes risk of injury.,guidance,departure,english
59,How can baggage be wrapped or secured at the airport?,Use airport wrapping services to protect luggage. Attach tags and keep receipts. Ensure sharp objects are secured. Follow airline and security instructions. Wrapping helps prevent damage and theft. Arrive early for sufficient time.,guidance,departure,english
60,How do I use oxygen masks on a flight?,Oxygen masks deploy in emergencies. Cover your nose and mouth properly. Adjust the strap for a secure fit. Fit your own mask before assisting children. Stay calm. Follow all crew instructions. Ensure proper use for safe oxygen supply.,guidance,departure,english
61,How can I request special meals on a flight?,"Inform the airline in advance about meal preferences. Options may include vegetarian, vegan, halal, or allergy-specific meals. Confirm the meal selection during online check-in. Staff will serve meals as requested. Planning ahead ensures dietary needs are met. Always check airline policies.",guidance,departure,english
62,What tips are there for connecting flights?,Check arrival and departure gates. Calculate sufficient transfer time. Verify baggage transfer and immigration procedures. Follow staff guidance and airport signage. Use airline apps for notifications. Prepare documents for security checks. Early planning ensures smooth connections.,guidance,departure,english
63,How do I charge personal electronic devices on board?,Use power outlets or USB ports at your seat. Ensure devices are secured while charging. Portable chargers are recommended. Keep devices in airplane mode as required. Follow crew instructions. Monitor battery use for long flights.,guidance,departure,english
64,How can I use airport shuttle services?,Check shuttle counters or info desks for schedules and routes. Confirm boarding area and timing. Have tickets or passes ready. Use licensed and official airport services for safety. Staff guidance ensures correct shuttle usage. Plan time for transfer.,guidance,departure,english
65,How can assistance for kids and infants be requested?,"Inform the airline in advance. Staff can help with boarding, seating, and baggage handling. Request special meals or amenities if needed. Confirm assistance upon arrival at the counter. Ensures a safer and more comfortable journey for children.",guidance,departure,english
66,How can I use airport Wi-Fi?,Select the airport Wi-Fi network. Complete the login or registration page. Free and paid options may be available. Keep devices secure and avoid sensitive transactions. Turn on airplane mode during flight. Follow network instructions.,guidance,departure,english
67,What are pet travel rules on flights?,Book in advance and ensure the carrier meets airline standards. Carry health certificates and vaccination records. Confirm whether the pet will travel in the cabin or cargo. Staff will assist during boarding. Always follow airline guidelines.,guidance,departure,english
68,How can I exchange currency at the airport?,Use official counters or kiosks. Check exchange rates and fees. Keep passport and boarding pass ready. Secure receipts for purchases. Allow extra time for queues. Plan currency needs before departure.,guidance,departure,english
69,How do I book exit row or emergency seats?,Available for adults only; restrictions for children apply. Use airline website or check-in counter. Consider extra legroom and safety info. Confirm seating during boarding. Staff will assist if necessary.,guidance,departure,english
70,How can I access airport lounges?,"Premium tickets, memberships, or airline packages provide access. Lounges offer comfortable seating, snacks, drinks, and Wi-Fi. Stay updated on flight info. Staff assistance is available. Lounges provide rest during long waits.",guidance,departure,english
71,How do I use in-flight entertainment?,"Use seat-back screens or personal devices. Headphones are required. Content may include movies, music, and games. Check timings for entertainment availability. Follow crew instructions. Helps pass time during the flight.",guidance,departure,english
72,What are carry-on luggage rules?,Check weight and size limits per airline rules. Extra items may incur fees. Keep liquids and prohibited items in compliance. Secure belongings for security checks. Plan ahead for smooth boarding.,guidance,departure,english
73,How can I avail travel insurance at the airport?,"Purchase through airlines, travel agents, or online. Check coverage and terms. Keep documentation and receipts safe. Know the claim process in case of emergencies. Travel insurance ensures peace of mind.",guidance,departure,english
74,How do I ensure comfort while reclining in my seat?,Fasten your seatbelt. Recline slowly to avoid disturbing neighbors. Use pillow and blanket for support. Follow crew instructions. Adjust seating for longer flights for comfort.,guidance,departure,english
75,How can I use fast-track security lanes?,Available for premium passengers or pay service. Follow signage and staff guidance. Keep documents ready. Join designated fast-track lane. Reduces waiting time and speeds up boarding.,guidance,departure,english
76,How do I manage personal comfort items on board?,"Use pillow, blanket, and personal entertainment devices. Keep belongings organized. Seek staff assistance if needed. Comfortable journey depends on planning.",guidance,departure,english
77,How to locate special assistance counters at the airport?,"Follow airport signage or ask at info desks. Staff will guide. Services include wheelchairs, assistance for seniors, and disabled passengers. Submit requests in advance if needed.",guidance,departure,english
78,How to manage liquids and gels in cabin baggage?,"Containers must be 100 ml or less. Use a transparent, resealable bag. Separate tray for security screening. Avoid prohibited liquids. Prepare items before security checks.",guidance,departure,english
79,What to do if boarding gate changes?,Check display boards and listen for announcements. Verify new gate via staff or mobile notifications. Arrive on time at the new gate. Smooth boarding requires attention.,guidance,departure,english
80,How can I improve seat comfort during the flight?,Fasten seatbelt. Recline gently. Use pillows or blankets. Follow crew instructions. Ensure belongings are organized for ease of movement.,guidance,departure,english
81,How to claim lost baggage at arrival?,"Check baggage carousel. If luggage is missing, report to airline counter. Keep receipt and tag details. Staff will help fill claim forms. Track claim process until resolution.",guidance,departure,english
82,How to secure children during an emergency landing?,Stay calm. Fasten your seatbelt. Use oxygen masks and life jackets. Keep children close. Follow crew instructions strictly.,guidance,departure,english
83,What onboard entertainment options are available?,"Seat-back screens or personal devices provide movies, music, and games. Headphones are needed. Check content and timings. Follow crew instructions.",guidance,departure,english
84,How to shop duty-free at the airport?,Keep passport and boarding pass ready. Check purchase limits. Follow airline rules for liquids and restricted items. Carry bags according to rules. Secure receipts.,guidance,departure,english
85,How to request a bassinet for infants?,Inform airline in advance. Staff will assign appropriate seat. Bedding and safety checked. Boarding assistance provided. Ensures safe and comfortable travel for infants.,guidance,departure,english
86,How to use a mobile boarding pass?,Download from airline app. QR code will be scanned at gates. Keep screen brightness high. Have backup print copy. Keep ID ready.,guidance,departure,english
87,Why follow seatbelt and safety card instructions?,Ensures safety during turbulence and emergencies. Crew announcements guide procedures. Assists in preventing injuries. Keep children and elders safe.,guidance,departure,english
88,How to avail fast-track security services?,Premium tickets or pay service required. Follow signage. Keep documents ready. Join fast-track lane. Saves time and ensures efficient boarding.,guidance,departure,english
89,How to manage personal comfort items efficiently?,"Use pillows, blankets, and entertainment devices. Organize belongings. Ask staff for help if necessary. Comfortable journey is ensured.",guidance,departure,english
90,How to locate special assistance counters?,"Follow signage or ask info desk. Staff will guide. Services for wheelchairs, seniors, and disabled passengers. Request in advance if needed.",guidance,departure,english
91,How to handle liquids and gels on board?,Max 100 ml per container. Use transparent bag. Separate for security screening. Avoid prohibited items. Ready for inspection.,guidance,departure,english
92,What to do if gate changes?,Monitor display boards and announcements. Verify new gate via staff. Arrive on time. Smooth boarding requires attention.,guidance,departure,english
93,How to ensure seat comfort?,Fasten seatbelt. Recline gently. Use pillow or blanket. Follow crew instructions. Organize belongings.,guidance,departure,english
94,How to claim lost baggage?,Check carousel. Report missing baggage. Keep receipts and tag info. Fill claim forms with staff. Track process until resolution.,guidance,departure,english
95,How to secure kids during emergency landing?,"Stay calm. Use seatbelt, oxygen mask, and life jacket. Keep children close. Follow crew instructions.",guidance,departure,english
96,What entertainment options exist on flights?,"Seat-back screens or personal devices. Movies, music, and games available. Use headphones. Follow crew instructions.",guidance,departure,english
97,How to shop duty-free?,Passport and boarding pass ready. Check purchase limits. Follow airline rules. Carry bags properly. Keep receipts.,guidance,departure,english
98,How to request a bassinet?,Inform airline. Staff assigns seat. Bedding and safety checked. Boarding assistance provided. Safe travel for infants ensured.,guidance,departure,english
99,How to use mobile boarding pass?,Download from app. Scan QR at gates. Keep screen bright. Have print backup. ID ready.,guidance,departure,english
100,Why follow safety instructions?,Ensures safety during turbulence/emergencies. Crew guidance helps prevent injuries. Keep children and elders safe.,guidance,departure,english
101,How to handle flight delays at the airport?,"Check airline staff or display screens for the latest updates. If connecting flights are affected, contact the airline for alternate arrangements. Stay in lounge or waiting area for comfort. Keep your boarding pass and documents ready. Monitor announcements and mobile notifications. Know airline compensation policies. Stay calm and patient.",guidance,departure,english
102,How to manage carry-on baggage efficiently?,Check airline size and weight limits. Pack essentials in an organized way. Keep liquids in a transparent bag. Avoid prohibited items. Place electronics in an accessible spot. Follow staff instructions. Early preparation ensures smooth boarding.,guidance,departure,english
103,How to use airline apps for departure info?,"Download the airline app and log in. Check real-time updates for boarding, gate, and baggage info. Receive notifications for delays or changes. Mobile boarding passes can be accessed. Always ensure connectivity. Staff assistance available if needed.",guidance,departure,english
104,How to request special seating for elderly passengers?,Inform airline in advance. Request seats close to toilets or exit rows with easier access. Confirm seat during online check-in. Boarding staff will assist if needed. Ensure a comfortable and safe journey.,guidance,departure,english
105,How to follow in-flight safety instructions?,Read safety card carefully. Listen to crew announcements. Follow seatbelt signs. Know emergency exits. Keep personal belongings secure. Assist children or companions if necessary. Stay calm during emergencies.,guidance,departure,english
106,How to check gate and flight updates?,Monitor airport display boards. Listen to announcements. Check airline app notifications. Confirm gate information with staff. Arrive at the correct gate on time. Reconfirm if gate changes. Keep boarding pass handy.,guidance,departure,english
107,How to access airport lounges for comfort?,"Premium tickets, memberships, or airline packages provide access. Lounges offer seating, Wi-Fi, refreshments, and flight updates. Staff can assist with queries. Ideal for long waits. Check access eligibility before arrival.",guidance,departure,english
108,How to request onboard meals for dietary needs?,"Inform the airline in advance. Options include vegetarian, vegan, halal, or allergy-specific meals. Confirm selection during online check-in. Staff will provide meals accordingly. Ensure dietary requirements are met.",guidance,departure,english
109,How to handle turbulence safely?,Keep your seatbelt fastened at all times. Stay calm and seated. Secure all belongings. Follow crew instructions. Avoid walking around during turbulence. Stay attentive to announcements.,guidance,departure,english
110,How to use emergency exits during a flight?,Read the safety card for exit operation instructions. Follow crew guidance. Only use in case of emergencies. Calmly assist children or companions if necessary. Do not block aisles. Move quickly but safely.,guidance,departure,english
111,How to check baggage allowance?,Confirm airline rules for checked and carry-on baggage. Check weight limits. Overweight or extra items may incur fees. Prepare baggage tags. Ensure fragile items are secured. Staff can clarify doubts.,guidance,departure,english
112,How to use fast-track immigration lanes?,"Premium passengers, families, or disabled travelers may use these lanes. Follow airport signage and staff instructions. Keep passport and boarding pass ready. Speeds up security and boarding process.",guidance,departure,english
113,How to manage liquids in cabin baggage?,"All liquids must be in containers of 100 ml or less. Keep them in a transparent, resealable bag. Separate bag for security screening. Avoid prohibited liquids. Keep accessible during checks.",guidance,departure,english
114,How to use airport shuttle services?,Check schedules and boarding areas at shuttle counters. Ensure tickets or passes are ready. Use licensed airport shuttles for safety. Follow staff guidance. Allocate sufficient time for transfers.,guidance,departure,english
115,How to handle unaccompanied minors during departure?,Airline must be informed in advance. Staff provides supervision and escort. Parent/guardian contact details required. Boarding and deboarding assistance provided. Ensures safe travel for children.,guidance,departure,english
116,How to charge personal devices during the flight?,Use seat power ports or USB outlets. Keep devices secure while charging. Portable chargers recommended. Maintain airplane mode as instructed. Follow crew directions. Monitor battery levels.,guidance,departure,english
117,How to check in at the airport?,"Arrive early. Have ID and booking confirmation ready. Staff will weigh baggage and issue boarding pass. Lines may vary, so allow extra time. Follow all counter instructions. Online check-in may save time.",guidance,departure,english
118,How to navigate connecting flights?,Check gate numbers and transfer time. Verify baggage transfer. Follow signage and staff instructions. Use airline app for updates. Ensure documents ready for security. Plan early to avoid stress.,guidance,departure,english
119,How to use boarding passes on mobile devices?,Download pass via airline app. QR code will be scanned at the gate. Keep screen brightness high. Have a print copy as backup. Keep ID handy.,guidance,departure,english
120,How to stay comfortable during long flights?,Use pillow and blanket. Adjust seating and recline slowly. Drink water and stretch when safe. Use onboard entertainment. Ask staff for assistance if needed. Organize belongings efficiently.,guidance,departure,english
121,How to locate special assistance counters at the airport?,"Look for signage or ask at info desks. Staff provide wheelchair, senior, or disabled passenger assistance. Submit requests in advance if needed. Ensures smooth navigation.",guidance,departure,english
122,How to claim lost baggage?,Check baggage carousel. Report missing luggage at airline counter. Keep receipts and tags ready. Staff helps fill claim forms. Track claim status until resolution.,guidance,departure,english
123,How to secure children during emergency situations?,Stay calm. Fasten seatbelts. Use oxygen masks and life jackets. Keep children close. Follow crew instructions strictly.,guidance,departure,english
124,How to shop duty-free?,Keep passport and boarding pass ready. Observe purchase limits. Follow airline regulations for liquids and restricted items. Carry bags safely. Keep receipts.,guidance,departure,english
125,How to request a bassinet for infants?,Inform airline in advance. Staff allocates appropriate seat. Bedding and safety checked. Boarding assistance provided. Ensures safe travel for infants.,guidance,departure,english
126,How to check gate changes?,Monitor airport display boards. Listen to announcements. Confirm with staff or app. Arrive on time at new gate. Stay attentive for smooth boarding.,guidance,departure,english
127,How to use airport Wi-Fi?,Select network and log in. Free and paid options may exist. Ensure device security. Turn on airplane mode when required. Follow any instructions.,guidance,departure,english
128,How to follow in-flight announcements?,"Listen carefully to staff. Announcements include safety, boarding, or connection info. Stay attentive to avoid missing important instructions. Keep devices set properly to hear announcements.",guidance,departure,english
129,How to manage carry-on baggage during boarding?,Keep essentials within reach. Ensure size and weight limits followed. Place liquids in separate bag. Avoid sharp or prohibited items. Stow securely in overhead bins or under seat.,guidance,departure,english
130,How to handle pet travel?,Book in advance. Carrier must meet airline standards. Carry health certificates. Confirm cabin or cargo travel. Staff will assist. Follow airline guidelines for pet safety.,guidance,departure,english
131,How to check baggage allowances online?,Visit airline website or app. Check checked and carry-on limits. Verify weight limits. Understand extra charges. Prepare tags and fragile items.,guidance,departure,english
132,How to use priority boarding?,"Premium tickets, families, elderly, or disabled passengers can use priority lane. Follow staff instructions. Boarding pass ready. Reduces waiting time. Ensures early cabin access.",guidance,departure,english
133,How to handle liquids during security?,Keep liquids ?100 ml. Use transparent bag. Present separately at security screening. Avoid prohibited items. Efficient screening requires preparation.,guidance,departure,english
134,How to access airport lounges?,"Premium tickets, memberships, or airline packages allow access. Enjoy seating, Wi-Fi, refreshments. Staff provide guidance. Lounge provides comfort during long waits.",guidance,departure,english
135,How to manage in-flight comfort?,"Use pillows, blankets, and entertainment. Keep belongings organized. Ask staff for help if needed. Stretch when safe. Hydrate regularly.",guidance,departure,english
136,How to request dietary meals?,"Inform airline in advance. Options include vegetarian, vegan, halal, or allergy-specific meals. Confirm during check-in. Staff serve accordingly. Dietary needs met efficiently.",guidance,departure,english
137,How to navigate turbulence safely?,Keep seatbelt fastened. Stay seated. Secure belongings. Follow crew instructions. Avoid moving around. Stay attentive to announcements.,guidance,departure,english
138,How to use emergency oxygen masks?,"Deploy masks when instructed. Cover nose and mouth. Secure strap. Fit self first, then assist children. Follow crew guidance. Stay calm.",guidance,departure,english
139,How to request special seating for seniors?,Inform airline in advance. Choose seats near toilets or easier access areas. Confirm during online check-in. Boarding staff assists. Ensures comfortable travel.,guidance,departure,english
140,How to handle flight cancellations?,Contact airline for alternate flights or refunds. Monitor updates. Keep documents and boarding pass ready. Follow staff guidance. Stay calm and plan accordingly.,guidance,departure,english
141,How to use fast-track security lanes?,Eligible passengers join fast-track lane. Follow signage and staff instructions. Keep documents ready. Reduces waiting time. Efficient boarding.,guidance,departure,english
142,How to request unaccompanied minor services?,Inform airline in advance. Staff provide escort and supervision. Contact details required. Boarding and deboarding assistance provided. Ensures safety.,guidance,departure,english
143,How to charge devices onboard?,Use seat power ports or USB. Keep devices secure. Portable chargers recommended. Airplane mode on. Follow crew instructions. Monitor battery.,guidance,departure,english
144,How to check gate info at the airport?,"Check display boards, listen to announcements. Confirm via app or staff. Arrive at the correct gate on time. Stay attentive for any changes.",guidance,departure,english
145,How to plan connecting flights?,Check transfer time and gates. Verify baggage transfer. Follow airport signage. Use airline app. Documents ready for security. Plan early for smooth transfer.,guidance,departure,english
146,How to manage liquids and gels in cabin baggage?,Keep containers ?100 ml. Use transparent bag. Separate for security screening. Avoid prohibited liquids. Keep accessible. Follow staff instructions.,guidance,departure,english
147,How to locate special assistance counters?,"Follow signage or ask info desk. Wheelchair, senior, and disabled assistance provided. Submit request in advance. Staff guidance ensures smooth navigation.",guidance,departure,english
148,How to secure kids during emergencies?,Fasten seatbelt. Use oxygen masks and life jackets. Keep children close. Follow crew instructions. Stay calm.,guidance,departure,english
149,How to shop duty-free efficiently?,Passport and boarding pass ready. Follow airline regulations for liquids and restricted items. Keep receipts. Plan purchases according to limits.,guidance,departure,english
150,How to use mobile boarding passes?,Download from airline app. QR code will be scanned at gate. Keep screen bright. Backup print copy recommended. Keep ID handy.,guidance,departure,english
151,How to manage long queues at airport security?,"Arrive early to allow ample time for security checks. Keep boarding pass and ID ready. Remove laptops, liquids, and prohibited items for screening. Follow staff instructions carefully. Stay patient and organized. Use fast-track lanes if eligible. Prepare children or elderly for the process.",guidance,departure,english
152,How to handle boarding when gate is crowded?,Arrive at the gate early and follow boarding group instructions. Keep boarding pass accessible. Follow staff directions to maintain order. Avoid blocking aisles. Allow priority passengers to board first. Stay patient and keep personal items organized.,guidance,departure,english
153,How to confirm baggage transfer for connecting flights?,Verify with airline staff during check-in. Confirm if baggage is tagged to final destination. Keep boarding passes for both flights. Monitor display boards or app notifications. Ask staff if any doubts arise. Early confirmation avoids baggage issues.,guidance,departure,english
154,How to handle flight delays due to weather?,Monitor airline announcements and app notifications. Stay updated on gate info. Use lounges or waiting areas for comfort. Contact airline for alternate arrangements if needed. Keep documents and boarding pass ready. Stay calm and patient.,guidance,departure,english
155,How to navigate airport signage efficiently?,"Follow clear signs for check-in, security, lounges, and gates. Use airport maps or apps if needed. Ask staff for directions if unclear. Keep documents accessible while moving. Allocate extra time to reach gates.",guidance,departure,english
156,How to request assistance for disabled passengers?,Inform airline in advance about special needs. Staff provide wheelchairs and guidance. Request assistance at counters or info desks. Confirm seating and boarding arrangements. Ensure smooth and safe navigation.,guidance,departure,english
157,How to manage personal documents for departure?,"Keep passport, visa, boarding pass, and ID organized. Use a travel wallet or pouch. Have photocopies for backup. Present documents promptly during security checks. Staff may request verification. Organization reduces stress.",guidance,departure,english
158,How to handle carry-on baggage limits?,Check airline rules for size and weight. Ensure liquids and electronics are compliant. Pack efficiently to fit overhead bin or under-seat space. Avoid sharp or prohibited items. Keep essentials accessible.,guidance,departure,english
159,How to request in-flight assistance for elderly or sick passengers?,"Notify airline in advance. Staff provide boarding, seating, and assistance during the flight. Special meals or medical accommodations may be requested. Confirm arrangements during check-in. Staff ensure a comfortable journey.",guidance,departure,english
160,How to use airline apps for departure updates?,"Download the airline app and log in. Check flight status, gate changes, and boarding time. Receive push notifications for delays or changes. Access mobile boarding passes. Contact airline staff if information differs.",guidance,departure,english
161,How to handle airport crowd during peak hours?,Arrive earlier than usual. Follow queue instructions and maintain patience. Use fast-track or priority lanes if eligible. Keep personal belongings secure. Stay alert for announcements and updates.,guidance,departure,english
162,How to request wheelchair assistance at departure?,Inform airline in advance. Staff provide wheelchair service from check-in to gate. Confirm seating arrangements for comfort. Allow extra time during security and boarding. Assistance ensures safe navigation.,guidance,departure,english
163,How to prepare children for flight security checks?,"Explain the process calmly. Keep ID, boarding pass, and necessary items ready. Remove prohibited items in advance. Help children stay calm during screening. Follow staff instructions. Use family lanes if available.",guidance,departure,english
164,How to manage liquids and gels for security?,"Use containers of 100 ml or less. Place all liquids in a transparent, resealable bag. Present bag separately during security screening. Avoid prohibited items. Keep accessible for inspection.",guidance,departure,english
165,How to use airport lounges effectively?,"Check eligibility based on ticket or membership. Enjoy seating, refreshments, Wi-Fi, and flight updates. Staff assistance available. Ideal for long waits or delayed flights. Stay updated on boarding announcements.",guidance,departure,english
166,How to request dietary meals onboard?,"Inform airline in advance. Options include vegetarian, vegan, halal, or allergy-specific meals. Confirm selection during check-in. Crew will provide meals accordingly. Ensures dietary needs are met efficiently.",guidance,departure,english
167,How to secure children during turbulence?,Fasten seatbelts for yourself and children. Keep them seated. Secure loose items. Follow crew instructions. Avoid moving around the cabin. Stay calm and reassuring.,guidance,departure,english
168,How to check-in online efficiently?,Complete online check-in within airline-specified time. Select seats and request special services. Download or print boarding pass. Confirm baggage drop instructions. Arrive early to drop luggage if needed.,guidance,departure,english
169,How to handle lost documents at the airport?,Keep photocopies and digital copies of important documents. Report missing items immediately to airline or airport authorities. Follow staff guidance for replacements. Maintain calm and verify identification.,guidance,departure,english
170,How to handle connecting flights efficiently?,Check gate and transfer times. Confirm baggage is tagged to the final destination. Monitor display boards and app notifications. Allow sufficient time for security or customs. Ask staff for guidance if needed.,guidance,departure,english
171,How to handle flight cancellations?,Contact airline immediately for alternate flights or refunds. Monitor announcements and mobile notifications. Keep boarding pass and documents handy. Consider using lounges or waiting areas. Stay patient and plan alternatives.,guidance,departure,english
172,How to navigate airport security quickly?,"Keep boarding pass and ID ready. Remove laptops, liquids, and prohibited items. Follow staff instructions. Use family or priority lanes if eligible. Arrive early to avoid last-minute stress.",guidance,departure,english
173,How to manage personal electronic devices?,"Carry laptops, tablets, and phones in an accessible place. Follow airline instructions for usage. Keep devices charged. Use headphones for entertainment. Place items in overhead bin or under seat safely.",guidance,departure,english
174,How to shop duty-free at the airport?,Carry passport and boarding pass. Observe purchase limits. Follow airline rules for liquids and restricted items. Keep receipts for reference. Plan shopping according to luggage space and weight.,guidance,departure,english
175,How to handle emergency announcements?,Listen carefully to crew instructions. Follow safety procedures. Keep calm and assist children or companions if needed. Familiarize with exit locations. Stay attentive throughout the flight.,guidance,departure,english
176,How to manage carry-on baggage space?,Store bags in overhead compartments or under the seat. Avoid blocking aisles. Keep essentials accessible. Follow staff instructions. Check airline restrictions for size and weight.,guidance,departure,english
